City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
597,Bundaberg,AU,82.4,scattered clouds,-24.85,152.35,Takalvan Motel
598,Mazatlan,MX,78.8,few clouds,23.2167,-106.4167,Gaviana Resort
600,Lethem,GY,80.49,overcast clouds,3.3803,-59.7968,Savannah Inn
604,San Policarpo,PH,80.46,broken clouds,12.1791,125.5072,JM Lodge
607,Sechura,PE,76.32,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
609,Novo Aripuana,BR,76.08,light rain,-5.1206,-60.3797,Hotel Ezequiel
610,Presidencia Roque Saenz Pena,AR,88.0,scattered clouds,-26.7852,-60.4388,Hotel Gualok
621,Luganville,VU,88.14,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
624,Tual,ID,83.57,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
632,Liuli,TZ,77.09,overcast clouds,-11.0833,34.6333,Josephs Dream Camp Site Beach
636,Mogadishu,SO,76.48,clear sky,2.0371,45.3438,Hotel Juba
638,Sokoni,TZ,78.8,few clouds,-6.4333,39.55,Ujamaa Beach Resort
641,Cabadiangan,PH,79.43,overcast clouds,9.7531,122.4739,Kipot
647,Samarai,PG,81.34,overcast clouds,-10.6167,150.6667,Nuli Sapi
650,Acapulco,MX,82.4,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
659,Pailon,BO,78.8,light rain,-17.65,-62.75,Alojamiento pailon
661,Cayenne,GF,75.2,light rain,4.9333,-52.3333,Hôtel Le Dronmi
663,Galesong,ID,77.0,moderate rain,-5.3166,119.3661,Sapriadi Appy
673,Auki,SB,86.31,broken clouds,-8.7676,160.7034,Auki Motel
682,La Orilla,MX,79.2,overcast clouds,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
683,Isangel,VU,78.8,moderate rain,-19.55,169.2667,Volcano Sea View Tree House
