City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
249,Kontagora,10.3999,5.4695,70.92,20,0,4.47,NG,2021-01-14 23:47:17,clear sky
250,Pangnirtung,66.1451,-65.7125,-11.2,77,1,3.44,CA,2021-01-14 23:47:17,clear sky
251,Ponta Do Sol,32.6667,-17.1,53.01,55,36,5.99,PT,2021-01-14 23:47:17,scattered clouds
252,Khandyga,62.6667,135.6,-50.06,75,56,1.79,RU,2021-01-14 23:47:17,broken clouds
253,Saint-Philippe,-21.3585,55.7679,77.0,83,75,2.3,RE,2021-01-14 23:47:17,broken clouds
254,Bilibino,68.0546,166.4372,-22.43,83,99,0.65,RU,2021-01-14 23:47:17,overcast clouds
255,Abu Samrah,35.3029,37.1841,48.74,76,18,19.77,SY,2021-01-14 23:47:17,few clouds
256,Provideniya,64.3833,-173.3,10.4,79,90,8.95,RU,2021-01-14 23:47:17,overcast clouds
257,Mastic,40.802,-72.8409,39.0,87,40,5.28,US,2021-01-14 23:47:18,scattered clouds
258,Barra Dos Coqueiros,-10.9089,-37.0386,80.6,78,20,12.66,BR,2021-01-14 23:47:18,few clouds
259,Ambulu,-8.345,113.6058,78.93,85,100,2.98,ID,2021-01-14 23:47:18,light rain
260,Iqaluit,63.7506,-68.5145,-13.0,77,20,5.75,CA,2021-01-14 23:43:24,few clouds
261,Kahului,20.8947,-156.47,86.0,48,20,17.27,US,2021-01-14 23:47:18,few clouds
